Brand,Model,Launch Date,Price,Ground Type,Material,Weight,Players
Nike,Tiempo Legend VI,2016-08-16,210$,"['AG', 'FG', 'HG', 'SG']",KANGAROO,244g,"['PIQUE,', 'RAMOS,', 'KOSCIELNY,', 'VARANE,', 'LLORIS,', 'CARVAJAL,', 'BOATENG']"
Nike,Mercurial Superfly,2016-02-09,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2015-04-25,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2015-05-27,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2014-12-01,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2014-08-21,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2015-09-28,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2015-12-02,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Mercurial Superfly,2015-03-27,275$,"['AG', 'FG', 'SG']",KNIT,200g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Tiempo Legend VI,2015-12-22,210$,"['AG', 'FG', 'HG', 'SG']",KANGAROO,244g,"['PIQUE,', 'RAMOS,', 'KOSCIELNY,', 'VARANE,', 'LLORIS,', 'CARVAJAL,', 'BOATENG']"
Nike,Tiempo Legend VI Women's,2016-02-01,210$,"['AG', 'FG', 'HG', 'SG']",KANGAROO,244g,"[""JULIE JOHNSTON'S""]"
Nike,Tiempo Legend VI Women's,2016-03-15,210$,"['AG', 'FG', 'HG', 'SG']",KANGAROO,244g,"[""JULIE JOHNSTON'S""]"
Nike,Tiempo Legend VI,2015-12-22,210$,"['AG', 'FG', 'HG', 'SG']",KANGAROO,244g,"['PIQUE,', 'RAMOS,', 'KOSCIELNY,', 'VARANE,', 'LLORIS,', 'CARVAJAL,', 'BOATENG']"
Nike,Tiempo Legend VI,2015-12-22,210$,"['AG', 'FG', 'HG', 'SG']",KANGAROO,244g,"['PIQUE,', 'RAMOS,', 'KOSCIELNY,', 'VARANE,', 'LLORIS,', 'CARVAJAL,', 'BOATENG']"
Nike,Tiempo Legend VI Women's,2016-02-01,210$,"['AG', 'FG', 'HG', 'SG']",KANGAROO,244g,"[""JULIE JOHNSTON'S""]"
Nike,Tiempo Legend VI Women's,2016-03-15,210$,"['AG', 'FG', 'HG', 'SG']",KANGAROO,244g,"[""JULIE JOHNSTON'S""]"
Nike,Tiempo Legend VI,2016-03-27,210$,"['AG', 'FG', 'HG', 'SG']",KANGAROO,244g,"['PIQUE,', 'RAMOS,', 'KOSCIELNY,', 'VARANE,', 'LLORIS,', 'CARVAJAL,', 'BOATENG']"
Nike,Tiempo Legend VI,2016-05-28,210$,"['AG', 'FG', 'HG', 'SG']",KANGAROO,244g,"['PIQUE,', 'RAMOS,', 'KOSCIELNY,', 'VARANE,', 'LLORIS,', 'CARVAJAL,', 'BOATENG']"
