Xisco,Nike,Magista Opus II>,0,
Mikel Saizar,Adidas,F50 Adizero>,0,
RaÃºl Bravo,Adidas,ACE 17.1 Leather>,0,
Deivid,Adidas,X 16.1>,0,
AdriÃ¡n Gunino,Nike,Magista Opus II>,0,
JosÃ© MarÃ­a LÃ³pez Silva,Nike,Hypervenom Phantom III DF>,0,
Juanlu,Lotto,Zhero Gravity>,0,
Carlos Caballero,Adidas,X 16.1>,0,
Aritz LÃ³pez Garai,Adidas,X 16.1>,0,
Abel,Adidas,ACE 17.1 Leather>,0,
Edu Campabadal,Nike,Hypervenom Phantom III DF>,0,
Samir Ujkani,Mizuno,Morelia Neo>,0,
Roberto Vitiello,Nike,Tiempo Legend VI>,0,
Eros Pisano,Nike,Mercurial Vapor XI>,0,
SiniÅ¡a AndjelkoviÄ,Nike,Hypervenom Phantom III DF>,0,
Milan MilanoviÄ,Nike,Hypervenom Phantom III DF>,0,
Ezequiel MuÃ±oz,Nike,Tiempo Legend VI>,0,
Achraf Lazaar,Nike,Mercurial Vapor XI>,0,
Edgar Barreto,Nike,Magista Opus II>,0,
Paulo Dybala,Nike,Mercurial Superfly V>,0,
Davide Di Gennaro,Nike,Tiempo Legend VI>,0,
Francesco Bolzoni,Adidas,ACE 17.1 Leather>,0,
Granddi Ngoyi,Nike,Mercurial Superfly V>,0,
Ivaylo Chochev,Nike,Magista Opus II>,0,
Claudio Terzi,Adidas,X 16.1>,0,
Franco VÃ¡zquez,Nike,Mercurial Superfly V>,0,
Robin Quaison,Adidas,X 16.1>,0,
Zouhair Feddal,Nike,Magista Opus II>,0,
Enzo Maresca,Adidas,ACE 17.1 Leather>,0,
Fabio DaprelÃ ,Adidas,ACE 17.1 Leather>,0,
Davide Monteleone,Puma,evoPOWER Vigor 1>,0,
Andrea Fulignati,Lotto,Zhero Gravity>,0,
Stefano Sorrentino,Adidas,ACE 17.1 Leather>,0,
Carlos Embalo,Puma,evoPOWER Vigor 1>,0,
Michel Morganella,Adidas,X 16.1>,0,
AljaÅ¾ Struna,Nike,Mercurial Vapor XI>,0,
Davide Petermann,Puma,evoPOWER Vigor 1>,0,
Accursio Bentivegna,Adidas,MESSI 15.1>,0,
Nicola Leali,Nike,Magista Opus II>,0,
Luca Valzania,Adidas,ACE 17.1 Leather>,0,
Giuseppe De Feudis,Asics,Lethal Testimonial>,0,
Alejandro RodrÃ­guez,Asics,Lethal Tigreor 7 K>,0,
Manuel Coppola,Nike,Magista Opus II>,0,
Massimo Volta,Asics,Lethal Tigreor>,0,
Luka Krajnc,Nike,Tiempo Legend VI>,0,
Alberto Iglio,Nike,CTR360 Maestri>,0,
